City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Sechura,PE,2022-02-02 21:46:19,-5.5569,-80.8222,80.8,53,13,18.9
59,Paamiut,GL,2022-02-02 21:46:20,61.994,-49.6678,7.27,65,100,16.46
60,Chokurdakh,RU,2022-02-02 21:41:51,70.6333,147.9167,-19.59,97,100,6.93
61,Zenzeli,RU,2022-02-02 21:46:20,45.9241,47.0474,35.56,92,100,7.83
62,Hithadhoo,MV,2022-02-02 21:41:53,-0.6,73.0833,81.75,70,57,5.53
63,Kavieng,PG,2022-02-02 21:43:18,-2.5744,150.7967,78.42,84,100,13.67
64,Petropavlovsk-Kamchatskiy,RU,2022-02-02 21:43:12,53.0452,158.6483,24.78,93,75,4.47
65,Ponta Do Sol,PT,2022-02-02 21:46:21,32.6667,-17.1,67.71,78,100,6.08
66,Hualmay,PE,2022-02-02 21:46:21,-11.0964,-77.6139,74.75,70,4,13.62
67,Forest Grove,US,2022-02-02 21:46:22,45.5198,-123.1107,46.62,82,100,1.01
68,Mwaro,BI,2022-02-02 21:46:22,-3.5,29.6667,55.99,93,100,2.21
69,Mizdah,LY,2022-02-02 21:46:23,31.4451,12.9801,50.79,61,100,20.67
70,Castro,BR,2022-02-02 21:42:29,-24.7911,-50.0119,66.94,90,32,5.3
71,Ouargaye,BF,2022-02-02 21:46:23,11.5033,0.0572,74.32,8,7,8.5
72,Palauig,PH,2022-02-02 21:46:24,15.435,119.9045,76.5,69,16,3.94
73,Bilibino,RU,2022-02-02 21:46:24,68.0546,166.4372,-7.58,63,61,5.14
74,Hobart,AU,2022-02-02 21:43:12,-42.8794,147.3294,59.05,59,40,1.99
75,Bodden Town,KY,2022-02-02 21:46:25,19.2833,-81.25,84.0,70,40,11.99
76,Bardiyah,LY,2022-02-02 21:46:25,31.7561,25.0865,53.47,70,100,12.71
77,Batamshinskiy,KZ,2022-02-02 21:46:26,50.5594,58.2747,15.78,89,93,8.9
78,Cuenca,EC,2022-02-02 21:46:26,-2.8833,-78.9833,71.73,37,20,10.36
79,Gardner,US,2022-02-02 21:46:26,42.5751,-71.9981,40.86,75,100,4.61
80,Alpine,US,2022-02-02 21:46:27,32.835,-116.7664,64.22,34,0,1.99
81,Manaus,BR,2022-02-02 21:46:25,-3.1019,-60.025,75.69,94,75,3.44
82,Zeya,RU,2022-02-02 21:46:27,53.75,127.2667,-9.71,88,51,4.81
83,Zaysan,KZ,2022-02-02 21:46:28,47.4667,84.8667,-2.99,83,17,3.11
84,Laguna,US,2022-02-02 21:46:28,38.421,-121.4238,61.88,28,0,11.99
85,Lasa,IT,2022-02-02 21:46:28,46.6166,10.7002,40.03,94,77,8.19
86,Emerald,AU,2022-02-02 21:46:29,-23.5333,148.1667,75.34,100,75,10.36
87,Marinette,US,2022-02-02 21:45:34,45.1,-87.6307,16.3,53,0,8.05
88,Marfino,RU,2022-02-02 21:46:29,55.7028,37.3822,23.14,86,0,4.47
89,Bulawayo,ZW,2022-02-02 21:46:29,-20.15,28.5833,70.16,73,90,3.87
90,Fortuna,US,2022-02-02 21:43:09,40.5982,-124.1573,58.42,69,0,8.01
91,Tiksi,RU,2022-02-02 21:47:30,71.6872,128.8694,-5.22,97,100,6.58
92,Cayenne,GF,2022-02-02 21:47:30,4.9333,-52.3333,80.1,84,75,5.99
93,Berdigestyakh,RU,2022-02-02 21:47:31,62.0989,126.6992,-16.58,99,98,4.14
94,Baruun-Urt,MN,2022-02-02 21:47:31,46.6806,113.2792,-11.6,94,68,3.47
95,Esperance,AU,2022-02-02 21:47:31,-33.8667,121.9,57.04,72,2,12.15
96,Beloha,MG,2022-02-02 21:47:32,-25.1667,45.05,73.24,73,0,16.44
97,Saskylakh,RU,2022-02-02 21:47:32,71.9167,114.0833,-30.41,100,28,2.59
98,Wodonga,AU,2022-02-02 21:47:33,-36.1167,146.8833,60.28,83,0,9.22
99,Whitehorse,CA,2022-02-02 21:44:43,60.7161,-135.0538,-5.03,65,75,8.05
100,Port Blair,IN,2022-02-02 21:47:33,11.6667,92.75,76.71,70,83,5.82
101,Sakakah,SA,2022-02-02 21:47:33,29.9697,40.2064,53.17,40,22,11.12
102,Grindavik,IS,2022-02-02 21:47:34,63.8424,-22.4338,25.27,68,75,4.61
103,Yelizovo,RU,2022-02-02 21:47:34,53.1873,158.3805,26.74,86,75,4.0
104,Enfield,AU,2022-02-02 21:45:41,-34.8526,138.6026,63.46,74,75,4.0
105,Kaeo,NZ,2022-02-02 21:42:43,-35.1,173.7833,74.32,85,100,11.61
106,Amarante Do Maranhao,BR,2022-02-02 21:47:35,-5.5667,-46.7422,74.12,89,55,2.21
107,Boa Vista,BR,2022-02-02 21:47:35,2.8197,-60.6733,91.38,40,40,12.66
108,Arawa,PG,2022-02-02 21:47:36,-6.2132,155.5367,81.36,80,100,3.49
109,East London,ZA,2022-02-02 21:47:36,-33.0153,27.9116,74.89,94,59,11.56
110,Kendari,ID,2022-02-02 21:47:36,-3.945,122.4989,74.79,93,100,2.55
111,Pimentel,PE,2022-02-02 21:47:37,-6.8367,-79.9342,77.29,61,0,26.46
112,Les Cayes,HT,2022-02-02 21:47:37,18.2,-73.75,79.5,69,7,9.04
113,Stawell,AU,2022-02-02 21:47:37,-37.05,142.7667,58.51,53,41,17.54
114,Raduzhnyy,RU,2022-02-02 21:47:38,62.0961,77.475,14.67,95,100,8.41
115,Ixtapa,MX,2022-02-02 21:47:38,20.7,-105.2,76.23,72,1,5.99
116,Hope,US,2022-02-02 21:47:38,33.6671,-93.5916,57.25,88,100,8.57
117,Tuatapere,NZ,2022-02-02 21:47:39,-46.1333,167.6833,57.81,85,100,6.87
118,Hailar,CN,2022-02-02 21:47:39,49.2,119.7,-28.34,100,74,4.0
119,Verkhnyaya Balkariya,RU,2022-02-02 21:47:39,43.1279,43.4573,22.12,63,94,13.22
120,Mikhaylovskaya,RU,2022-02-02 21:47:40,44.9947,40.5964,35.37,90,100,6.46
121,Saint-Louis,SN,2022-02-02 21:47:40,16.3333,-15.0,82.04,11,68,10.56
122,Barra Do Garcas,BR,2022-02-02 21:47:40,-15.89,-52.2567,76.96,89,28,4.99
123,Torbay,CA,2022-02-02 21:43:45,47.6666,-52.7314,26.49,84,40,4.61
124,Katsuura,JP,2022-02-02 21:47:41,35.1333,140.3,39.18,51,30,9.46
125,Minot,US,2022-02-02 21:42:43,48.2325,-101.2963,-1.21,59,40,16.11
126,Zalegoshch,RU,2022-02-02 21:47:41,52.9008,36.8869,17.37,96,100,5.35
127,Luderitz,NA,2022-02-02 21:46:04,-26.6481,15.1594,68.27,78,68,1.77
128,Srednekolymsk,RU,2022-02-02 21:47:42,67.45,153.6833,-24.21,98,100,1.86
129,Jurm,AF,2022-02-02 21:47:42,36.8648,70.8342,24.94,90,100,2.53
130,Pingliang,CN,2022-02-02 21:47:43,35.5392,106.6861,14.09,93,63,3.33
131,Durant,US,2022-02-02 21:47:43,33.994,-96.3708,34.29,86,100,16.11
132,Zafarwal,PK,2022-02-02 21:47:43,32.3463,74.8999,54.95,81,99,11.86
133,Diego De Almagro,CL,2022-02-02 21:47:44,-26.3667,-70.05,77.14,18,0,12.35
134,Nikolskoye,RU,2022-02-02 21:47:44,59.7035,30.7861,22.89,98,99,1.1
135,Iqaluit,CA,2022-02-02 21:45:04,63.7506,-68.5145,8.33,78,100,11.01
136,Dikson,RU,2022-02-02 21:48:44,73.5069,80.5464,-7.8,98,94,9.89
137,Sisimiut,GL,2022-02-02 21:48:45,66.9395,-53.6735,-0.13,79,100,19.13
138,Bambous Virieux,MU,2022-02-02 21:46:20,-20.3428,57.7575,79.21,100,75,33.38
139,Ordzhonikidze,KZ,2022-02-02 21:48:45,52.4411,61.7408,17.78,92,100,8.28
140,Salinas,US,2022-02-02 21:44:25,36.6777,-121.6555,65.01,22,0,12.66
141,Bethel,US,2022-02-02 21:48:46,41.3712,-73.414,43.39,100,100,1.14
142,Tasiilaq,GL,2022-02-02 21:48:46,65.6145,-37.6368,14.16,78,100,4.16
143,Kandrian,PG,2022-02-02 21:48:47,-6.2167,149.55,78.39,84,100,16.6
