City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,East London,ZA,-33.0153,27.9116,69.04,88,95,11.86,light rain
70,Saint George,US,37.1041,-113.5841,42.35,34,0,8.01,clear sky
71,Palaikastron,GR,35.2,26.25,48.74,68,0,13.96,clear sky
72,The Valley,AI,18.217,-63.0578,75.09,75,100,15.84,overcast clouds
73,Victoria,HK,22.2855,114.1577,63.03,68,66,3.0,broken clouds
74,Korop,UA,51.5664,32.9586,-1.43,100,98,2.77,overcast clouds
75,Lompoc,US,34.6391,-120.4579,55.42,77,0,3.44,clear sky
76,Hobart,AU,-42.8794,147.3294,71.28,62,20,1.01,few clouds
77,Tasiilaq,GL,65.6145,-37.6368,24.96,66,100,38.5,overcast clouds
78,Touros,BR,-5.1989,-35.4608,77.9,74,5,11.48,clear sky
79,Ponta Do Sol,PT,32.6667,-17.1,63.23,70,84,4.88,broken clouds
80,Stephenville,US,32.2207,-98.2023,25.14,93,0,0.0,clear sky
81,Labuhan,ID,-6.8844,112.2051,84.9,72,41,11.41,scattered clouds
82,Kikwit,CD,-5.041,18.8162,67.57,92,97,2.24,overcast clouds
83,Jamestown,US,42.097,-79.2353,18.72,85,100,10.36,overcast clouds
84,Cairns,AU,-16.9167,145.7667,84.29,80,75,11.5,broken clouds
85,Port Elizabeth,ZA,-33.918,25.5701,69.1,83,100,6.91,overcast clouds
86,Carnarvon,AU,-24.8667,113.6333,96.87,37,12,5.41,few clouds
87,Yellowknife,CA,62.456,-114.3525,-25.71,81,100,4.61,overcast clouds
88,Xingyi,CN,24.1877,102.817,59.49,57,61,10.8,broken clouds
89,Bangalore,IN,12.9762,77.6033,80.85,49,40,9.22,haze
90,Normandin,CA,48.8333,-72.5321,-5.49,70,100,8.05,overcast clouds
91,Poum,NC,-20.2333,164.0167,81.48,75,97,14.07,overcast clouds
92,Chokurdakh,RU,70.6333,147.9167,-31.58,100,22,1.45,few clouds
93,Las Vegas,US,36.175,-115.1372,49.68,28,0,6.91,clear sky
94,Kushima,JP,31.4583,131.2333,50.04,50,53,15.95,broken clouds
95,Angoram,PG,-4.0625,144.0661,85.86,71,98,6.96,overcast clouds
96,Bud,US,39.447,-86.1758,20.7,84,90,8.99,light snow
97,Vaini,TO,-21.2,-175.2,77.16,94,100,14.97,light rain
98,Mount Isa,AU,-20.7333,139.5,92.97,16,5,5.75,clear sky
99,Pisco,PE,-13.7,-76.2167,67.01,88,0,0.0,clear sky
100,Dikson,RU,73.5069,80.5464,-2.38,91,100,5.44,overcast clouds
101,Butaritari,KI,3.0707,172.7902,82.78,78,49,18.68,light rain
102,Council Bluffs,US,41.2619,-95.8608,16.57,49,0,5.75,clear sky
103,Moroto,UG,2.5345,34.6666,72.5,41,84,2.33,broken clouds
104,Severo-Kurilsk,RU,50.6789,156.125,30.51,89,86,9.75,light snow
105,Neryungri,RU,56.6709,124.6491,0.28,91,100,13.18,overcast clouds
106,Tevriz,RU,57.509,72.4042,21.72,88,100,5.55,overcast clouds
107,Zavetnoye,RU,47.1194,43.8903,27.09,93,96,12.95,overcast clouds
108,Barrow,US,71.2906,-156.7887,-11.18,70,100,6.91,overcast clouds
109,Ardahan,TR,41.1087,42.7022,3.36,98,92,4.14,light snow
110,Georgetown,MY,5.4112,100.3354,89.89,66,40,4.61,scattered clouds
111,Lucea,JM,18.451,-78.1736,76.86,79,3,11.92,clear sky
112,Mar Del Plata,AR,-38.0023,-57.5575,66.09,88,100,1.01,heavy intensity rain
113,Lower Hutt,NZ,-41.2167,174.9167,62.02,92,100,16.11,light rain
114,Machico,PT,32.7,-16.7667,63.68,86,20,6.91,few clouds
115,Kambove,CD,-10.8764,26.5969,58.19,97,100,2.51,overcast clouds
116,Saskylakh,RU,71.9167,114.0833,-13.9,99,99,4.38,overcast clouds
117,Luganville,VU,-15.5333,167.1667,80.29,86,100,4.54,overcast clouds
118,Dudinka,RU,69.4058,86.1778,-3.6,96,95,5.7,overcast clouds
119,Esna,EG,25.2934,32.554,48.22,58,0,7.07,clear sky
120,Tecuala,MX,22.3986,-105.4569,61.52,81,0,1.81,clear sky
121,Mwanza,TZ,-2.5167,32.9,65.28,89,100,7.2,light rain
122,Komsomolskiy,UZ,40.4272,71.7189,40.42,48,92,0.0,overcast clouds
123,Shache,CN,38.4167,77.2406,31.71,34,100,2.71,overcast clouds
124,Cayenne,GF,4.9333,-52.3333,80.1,85,75,4.0,light rain
125,Ahuimanu,US,21.4447,-157.8378,76.71,77,0,1.01,clear sky
126,Provideniya,RU,64.3833,-173.3,0.1,68,1,11.79,clear sky
127,Aklavik,CA,68.2191,-135.0107,-21.17,88,6,19.24,clear sky
128,Mana,GF,5.6592,-53.7767,75.74,90,100,7.92,overcast clouds
129,Kruisfontein,ZA,-34.0033,24.7314,66.88,79,78,3.62,broken clouds
130,Santa Cruz Cabralia,BR,-16.2781,-39.0247,79.03,89,40,3.44,scattered clouds
131,Cabo San Lucas,MX,22.8909,-109.9124,62.94,70,0,1.66,clear sky
132,Srednekolymsk,RU,67.45,153.6833,-32.13,100,98,0.74,overcast clouds
133,Morondava,MG,-20.2833,44.2833,82.35,62,91,5.19,overcast clouds
134,Bardiyah,LY,31.7561,25.0865,49.19,79,5,13.58,clear sky
135,Fergus Falls,US,46.283,-96.0776,-5.73,81,100,8.05,overcast clouds
136,Jiazi,CN,22.8779,116.067,59.68,67,73,12.57,broken clouds
137,Arklow,IE,52.7931,-6.1414,44.08,81,89,16.15,overcast clouds
138,Bambanglipuro,ID,-7.95,110.2833,85.66,67,58,12.39,broken clouds
139,Ust-Kuyga,RU,70.0167,135.6,-36.02,100,99,4.14,overcast clouds
140,Batelov,CZ,49.3143,15.3947,34.79,84,83,16.64,broken clouds
141,Koungou,YT,-12.7336,45.2042,85.71,74,75,13.8,broken clouds
142,Geraldton,AU,-28.7667,114.6,108.01,9,0,8.05,clear sky
143,Khani,GE,41.9563,42.9566,27.97,98,98,6.35,snow
144,Katsuura,JP,35.1333,140.3,48.31,36,98,6.46,overcast clouds
145,Saint-Pierre,RE,-21.3393,55.4781,87.48,51,99,13.8,overcast clouds
146,Norman Wells,CA,65.282,-126.8329,-9.36,64,75,18.41,broken clouds
147,Helong,CN,42.5397,128.9972,11.08,57,88,13.91,overcast clouds
148,Kirakira,SB,-10.4544,161.9205,84.79,75,98,8.68,overcast clouds
149,Port Alfred,ZA,-33.5906,26.891,69.4,84,96,11.9,light rain
150,Rio Grande,BR,-32.035,-52.0986,73.51,94,40,7.0,scattered clouds
151,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,87,0,6.91,clear sky
152,Bethel,US,41.3712,-73.414,27.55,83,100,5.75,overcast clouds
153,Dunedin,NZ,-45.8742,170.5036,56.8,58,72,4.0,broken clouds
154,Bredasdorp,ZA,-34.5322,20.0403,69.12,64,34,16.11,scattered clouds
155,Yulara,AU,-25.2406,130.9889,87.64,16,0,8.05,clear sky
156,Mount Pleasant,US,32.7941,-79.8626,60.1,96,100,1.99,moderate rain
157,Lagos,NG,6.5833,3.75,77.32,95,0,2.86,clear sky
158,Storsteinnes,NO,69.2408,19.2344,17.6,89,70,8.32,broken clouds
159,Greenville,US,35.6127,-77.3663,63.99,94,100,10.36,overcast clouds
160,Nuevo Progreso,MX,23.1667,-97.95,49.59,37,100,5.99,overcast clouds
161,Vanderhoof,CA,54.0166,-124.0198,38.03,70,100,14.88,overcast clouds
162,Kodiak,US,57.79,-152.4072,42.31,70,100,11.5,overcast clouds
163,Maragogi,BR,-9.0122,-35.2225,77.32,75,15,5.61,few clouds
164,Kailua,US,21.4022,-157.7394,76.98,78,0,0.0,clear sky
165,Werda,BW,-25.2667,23.2833,70.2,75,21,7.14,few clouds
166,Nabire,ID,-3.3667,135.4833,85.8,67,99,8.5,overcast clouds
167,Minna,NG,9.6139,6.5569,71.02,12,0,10.07,clear sky
168,Aksarka,RU,66.5606,67.7975,-1.88,100,89,2.08,overcast clouds
169,Broken Hill,AU,-31.95,141.4333,82.11,26,75,13.8,broken clouds
170,Ribeira Grande,PT,38.5167,-28.7,58.86,79,21,5.61,few clouds
171,La Paz,BO,-16.5,-68.15,42.78,93,75,2.3,broken clouds
172,Shumskiy,RU,54.8318,99.1328,21.83,76,100,3.44,overcast clouds
173,Edwardsville,US,38.8114,-89.9532,21.13,76,0,4.61,clear sky
174,Mogadishu,SO,2.0371,45.3438,78.67,69,40,12.66,scattered clouds
175,Nikolskoye,RU,59.7035,30.7861,18.39,88,100,13.51,light snow
176,Muravlenko,RU,63.7898,74.523,-1.93,97,55,12.1,broken clouds
177,Acari,PE,-15.4311,-74.6158,71.73,78,9,2.91,clear sky
178,Guerrero Negro,MX,27.9769,-114.0611,59.18,35,0,2.77,clear sky
179,Tautira,PF,-17.7333,-149.15,82.42,74,28,14.2,scattered clouds
180,Zhanakorgan,KZ,43.9098,67.2495,34.16,62,92,4.12,overcast clouds
181,De Aar,ZA,-30.6497,24.0123,61.97,70,0,12.5,clear sky
182,Bluff,NZ,-46.6,168.3333,60.8,59,49,5.82,scattered clouds
183,Mandalgovi,MN,45.7625,106.2708,13.26,51,0,11.61,clear sky
184,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,81,100,9.19,overcast clouds
185,Pevek,RU,69.7008,170.3133,-26.97,99,82,6.2,broken clouds
186,Ormara,PK,25.2088,64.6357,72.95,42,1,8.43,clear sky
187,Anjiang,CN,27.3194,110.1031,52.56,55,23,3.06,few clouds
188,Iida,JP,35.5197,137.8207,40.86,97,100,5.99,overcast clouds
189,Mattru,SL,7.6244,-11.8332,69.67,98,28,2.13,scattered clouds
190,Port Lincoln,AU,-34.7333,135.8667,74.35,54,6,10.63,clear sky
191,Lorengau,PG,-2.0226,147.2712,84.06,67,98,10.38,overcast clouds
192,Kaitangata,NZ,-46.2817,169.8464,54.72,61,21,6.51,few clouds
193,La Ronge,CA,55.1001,-105.2842,-7.35,77,100,6.91,overcast clouds
194,Banfora,BF,10.6333,-4.7667,67.21,16,4,5.23,clear sky
