City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
711,Sijunjung,ID,79.72,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
715,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
726,Biak,ID,83.71,overcast clouds,-0.9131,122.8766,Penginapan Kim
727,Mareeba,AU,80.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
737,Ambilobe,MG,79.83,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
746,Barra Patuca,HN,76.01,clear sky,15.8,-84.2833,
750,Kinwat,IN,75.31,overcast clouds,19.6333,78.2,Golewar Santosh Naganna
751,Balabac,PH,80.04,light rain,7.9868,117.0645,Batalla’s Lodging House
756,Sarangani,PH,81.41,broken clouds,5.4033,125.4636,Ballistic Islet
759,Ambovombe,MG,78.33,overcast clouds,-25.1667,46.0833,RELAHARA
764,Mananjary,MG,76.53,heavy intensity rain,-21.2167,48.3333,Vahiny Lodge
766,Cravo Norte,CO,80.94,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
774,Tutoia,BR,76.96,moderate rain,-2.7619,-42.2744,Pousada Guará's
775,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
785,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
787,Lethem,GY,75.47,overcast clouds,3.3803,-59.7968,Savannah Inn
788,Colon,PA,77.23,few clouds,9.3592,-79.9014,Sand Diamond Hotel
789,Luanda,AO,75.07,overcast clouds,-8.8368,13.2343,Hotel Fórum
798,Bac Lieu,VN,86.52,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
802,Emerald,AU,86.34,clear sky,-23.5333,148.1667,The Irish Village
804,Gambela,ET,84.61,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
809,Bosaso,SO,79.41,clear sky,11.2842,49.1816,Red Sea Hotel
810,Morayfield,AU,79.99,broken clouds,-27.1167,152.95,Caboolture Riverlakes Motel
819,Porbandar,IN,76.98,clear sky,21.6422,69.6093,Lords Inn Porbandar
820,Cartagena,CO,78.42,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
828,Bandarbeyla,SO,77.38,clear sky,9.4942,50.8122,JABIR HOTEL
831,Honiara,SB,85.1,moderate rain,-9.4333,159.95,Heritage Park Hotel
837,Jizan,SA,80.13,few clouds,17.3333,42.6667,شهدان. ابوالحجر
844,Pinugay,PH,83.84,broken clouds,14.5967,121.2623,Quest Adventure Camp Team Building Venue near Manila
845,Fare,PF,81.03,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
851,Puri,IN,75.72,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
853,Palembang,ID,84.29,broken clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
864,Wewak,PG,84.29,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
869,Oranjestad,AW,79.02,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
879,Nieuw Amsterdam,SR,75.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
885,Santa Rosa,PH,86.09,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
892,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
894,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
900,Gizo,SB,85.55,overcast clouds,-8.103,156.8419,Imagination Island
908,Miragoane,HT,75.69,clear sky,18.4423,-73.0876,MMM K-TICHON
918,Balikpapan,ID,85.03,overcast clouds,-1.2675,116.8289,ibis Balikpapan
